;;;;;;;;;;;;;;;;;PROMEDIO
26/06/2017 19:33;380;26/06/2017 19:33;513;26/06/2017 19:34;535;26/06/2017 19:34;597;;26/06/2017 19:33;0,154773456;26/06/2017 19:33;0,108257244;26/06/2017 19:34;0,101748654;26/06/2017 19:34;0,084752847;0,115927849
26/06/2017 19:34;385;26/06/2017 19:33;411;26/06/2017 19:34;430;26/06/2017 19:34;427;;26/06/2017 19:34;0,152747283;26/06/2017 19:33;0,142618052;26/06/2017 19:34;0,135613293;26/06/2017 19:34;0,136698478;0,144021271
26/06/2017 19:34;379;26/06/2017 19:33;421;26/06/2017 19:34;422;26/06/2017 19:34;414;;26/06/2017 19:34;0,155181888;26/06/2017 19:33;0,138891911;26/06/2017 19:34;0,138524176;26/06/2017 19:34;0,141490774;0,145188191
26/06/2017 19:34;379;26/06/2017 19:34;438;26/06/2017 19:34;411;26/06/2017 19:34;403;;26/06/2017 19:34;0,155181888;26/06/2017 19:34;0,132756069;26/06/2017 19:34;0,142618052;26/06/2017 19:34;0,145664833;0,144534263
26/06/2017 19:34;385;26/06/2017 19:34;420;26/06/2017 19:34;388;26/06/2017 19:34;389;;26/06/2017 19:34;0,152747283;26/06/2017 19:34;0,13926052;26/06/2017 19:34;0,151544172;26/06/2017 19:34;0,151145202;0,147717668
26/06/2017 19:34;370;26/06/2017 19:34;419;26/06/2017 19:34;375;26/06/2017 19:34;380;;26/06/2017 19:34;0,158907034;26/06/2017 19:34;0,139630007;26/06/2017 19:34;0,156826466;26/06/2017 19:34;0,154773456;0,151103499
26/06/2017 19:34;365;26/06/2017 19:34;422;26/06/2017 19:34;369;26/06/2017 19:34;378;;26/06/2017 19:34;0,16101591;26/06/2017 19:34;0,138524176;26/06/2017 19:34;0,15932652;26/06/2017 19:34;0,1555914;0,151710495
26/06/2017 19:34;367;26/06/2017 19:34;402;26/06/2017 19:34;348;26/06/2017 19:34;381;;26/06/2017 19:34;0,160168914;26/06/2017 19:34;0,146049926;26/06/2017 19:34;0,168408616;26/06/2017 19:34;0,154366097;0,153528312
26/06/2017 19:34;357;26/06/2017 19:34;395;26/06/2017 19:34;341;26/06/2017 19:34;390;;26/06/2017 19:34;0,164450954;26/06/2017 19:34;0,148772706;26/06/2017 19:34;0,171558216;26/06/2017 19:34;0,150747255;0,154656972
26/06/2017 19:34;353;26/06/2017 19:34;398;26/06/2017 19:34;336;26/06/2017 19:35;386;;26/06/2017 19:34;0,166197451;26/06/2017 19:34;0,147599939;26/06/2017 19:34;0,17384777;26/06/2017 19:35;0,152345208;0,155380866
26/06/2017 19:34;355;26/06/2017 19:34;380;26/06/2017 19:34;338;26/06/2017 19:35;392;;26/06/2017 19:34;0,165321743;26/06/2017 19:34;0,154773456;26/06/2017 19:34;0,172927886;26/06/2017 19:35;0,149954415;0,156683204
26/06/2017 19:34;357;26/06/2017 19:34;373;26/06/2017 19:34;339;26/06/2017 19:35;392;;26/06/2017 19:34;0,164450954;26/06/2017 19:34;0,157655345;26/06/2017 19:34;0,172469983;26/06/2017 19:35;0,149954415;0,157353571
26/06/2017 19:34;357;26/06/2017 19:34;378;26/06/2017 19:35;340;26/06/2017 19:35;390;;26/06/2017 19:34;0,164450954;26/06/2017 19:34;0,1555914;26/06/2017 19:35;0,172013429;26/06/2017 19:35;0,150747255;0,15692987
26/06/2017 19:35;366;26/06/2017 19:34;379;26/06/2017 19:35;343;26/06/2017 19:35;393;;26/06/2017 19:35;0,160591833;26/06/2017 19:34;0,155181888;26/06/2017 19:35;0,170651781;26/06/2017 19:35;0,14955951;0,155111077
26/06/2017 19:35;365;26/06/2017 19:34;378;26/06/2017 19:35;344;26/06/2017 19:35;1019;;26/06/2017 19:35;0,16101591;26/06/2017 19:34;0,1555914;26/06/2017 19:35;0,170200543;26/06/2017 19:35;0,00188056;0,106162623
